target,device,model,quant,flavor,variant,draft_tps,accept,goodput_proxy_tps,verify_rate_calls_per_s,verify_cost_$per_s,tokens_per_$,$_per_1k_accepted_tokens
llama_target_70b,RPi4B,llama-3.2-1b,q4_k_m,instruct,llama-3.2-1b-instruct-q4_k_m,4.14,0.5038,2.085732,0.129375,3.726e-06,559777.7777777779,0.001786423183803096
llama_target_70b,RPi4B,llama-3.2-1b,q4_k_m,base,llama-3.2-1b-base-q4_k_m,4.18,0.5038,2.105884,0.130625,3.762e-06,559777.7777777778,0.0017864231838030965
llama_target_70b,RPi4B,llama-3.2-3b,q4_k_m,instruct,llama-3.2-3b-instruct-q4_k_m,1.68,0.5691,0.956088,0.0525,1.512e-06,632333.3333333334,0.0015814443858724301
llama_target_70b,RPi4B,llama-3.2-3b,q8_0,instruct,llama-3.2-3b-instruct-q8_0,1.04,0.5691,0.5918640000000001,0.0325,9.360000000000001e-07,632333.3333333333,0.0015814443858724304
llama_target_70b,RPi4B,llama-3.1-8b,q4_k_m,instruct,llama-3.1-8b-instruct-q4_k_m,0.72,0.6488,0.467136,0.0225,6.48e-07,720888.8888888889,0.0013871763255240445
qwen_target_32b,RPi4B,qwen3-0.6b,q4_k_m,base,qwen3-0.6b-base-q4_k_m,7.84,0.3826,2.999584,0.245,4.625599999999999e-06,648474.5762711866,0.0015420805018295867
qwen_target_32b,RPi4B,qwen3-0.6b,q8_0,base,qwen3-0.6b-base-q8_0,4.92,0.3826,1.8823919999999998,0.15375,2.9028e-06,648474.5762711863,0.0015420805018295874
qwen_target_32b,RPi4B,qwen3-1.7b,q4_k_m,base,qwen3-1.7b-base-q4_k_m,3.02,0.4494,1.357188,0.094375,1.7817999999999998e-06,761694.9152542374,0.0013128615932354248
qwen_target_32b,RPi4B,qwen3-1.7b,q8_0,base,qwen3-1.7b-base-q8_0,1.89,0.4494,0.849366,0.0590625,1.1151e-06,761694.9152542372,0.001312861593235425
qwen_target_32b,RPi4B,qwen3-4b,q4_k_m,base,qwen3-4b-base-q4_k_m,1.34,0.4705,0.63047,0.041875,7.906e-07,797457.6271186441,0.0012539851222104145
qwen_target_32b,RPi4B,qwen3-4b,q8_0,base,qwen3-4b-base-q8_0,0.83,0.4705,0.39051499999999995,0.0259375,4.896999999999999e-07,797457.6271186441,0.0012539851222104145
qwen_target_32b,RPi4B,qwen3-8b,q4_k_m,base,qwen3-8b-base-q4_k_m,0.72,0.5357,0.38570399999999994,0.0225,4.2479999999999994e-07,907966.1016949152,0.0011013627030054135
qwen_target_32b,RPi4B,qwen3-8b,q6_k,base,qwen3-8b-base-q6_k,0.55,0.5357,0.294635,0.0171875,3.2450000000000003e-07,907966.1016949151,0.0011013627030054137
llama_target_70b,RPi5,llama-3.2-1b,q4_k_m,instruct,llama-3.2-1b-instruct-q4_k_m,14.47,0.5038,7.289986000000001,0.4521875,1.3023000000000002e-05,559777.7777777778,0.0017864231838030965
llama_target_70b,RPi5,llama-3.2-1b,q4_k_m,base,llama-3.2-1b-base-q4_k_m,12.86,0.5038,6.478868,0.401875,1.1574e-05,559777.7777777779,0.001786423183803096
llama_target_70b,RPi5,llama-3.2-3b,q4_k_m,instruct,llama-3.2-3b-instruct-q4_k_m,4.68,0.5691,2.663388,0.14625,4.212e-06,632333.3333333334,0.0015814443858724301
llama_target_70b,RPi5,llama-3.2-3b,q8_0,instruct,llama-3.2-3b-instruct-q8_0,2.37,0.5691,1.3487670000000003,0.0740625,2.133e-06,632333.3333333334,0.0015814443858724301
llama_target_70b,RPi5,llama-3.1-8b,q4_k_m,instruct,llama-3.1-8b-instruct-q4_k_m,1.77,0.6488,1.148376,0.0553125,1.593e-06,720888.8888888889,0.0013871763255240445
qwen_target_32b,RPi5,qwen3-0.6b,q4_k_m,base,qwen3-0.6b-base-q4_k_m,18.18,0.3826,6.955668,0.568125,1.0726199999999999e-05,648474.5762711865,0.001542080501829587
qwen_target_32b,RPi5,qwen3-0.6b,q8_0,base,qwen3-0.6b-base-q8_0,10.38,0.3826,3.971388,0.324375,6.1242e-06,648474.5762711865,0.001542080501829587
qwen_target_32b,RPi5,qwen3-1.7b,q4_k_m,base,qwen3-1.7b-base-q4_k_m,7.15,0.4494,3.21321,0.2234375,4.2185e-06,761694.9152542372,0.001312861593235425
qwen_target_32b,RPi5,qwen3-1.7b,q8_0,base,qwen3-1.7b-base-q8_0,4.01,0.4494,1.802094,0.1253125,2.3658999999999997e-06,761694.9152542375,0.0013128615932354248
qwen_target_32b,RPi5,qwen3-4b,q4_k_m,base,qwen3-4b-base-q4_k_m,3.11,0.4705,1.4632549999999998,0.0971875,1.8348999999999998e-06,797457.6271186441,0.0012539851222104145
qwen_target_32b,RPi5,qwen3-4b,q8_0,base,qwen3-4b-base-q8_0,1.93,0.4705,0.9080649999999999,0.0603125,1.1386999999999998e-06,797457.6271186441,0.0012539851222104145
qwen_target_32b,RPi5,qwen3-8b,q4_k_m,base,qwen3-8b-base-q4_k_m,1.78,0.5357,0.9535459999999999,0.055625,1.0502e-06,907966.1016949152,0.0011013627030054135
qwen_target_32b,RPi5,qwen3-8b,q6_k,base,qwen3-8b-base-q6_k,1.68,0.5357,0.8999759999999999,0.0525,9.912e-07,907966.1016949152,0.0011013627030054135
