target,device,hf_model,quant,tok_s,power_w,accept,goodput,j_per_verified_tok
llama_target_70b,RPi 5,llama-3.2-3b,Q8_0,2.09,7.95,0.5691,1.189419,6.683935602172153
llama_target_70b,RPi 5,llama-3.1-8b,Q4_K_M,1.55,8.38,0.6488,1.00564,8.333001869456266
qwen_target_32b,RPi 5,qwen3-0.6b,Q4_K_M,15.29,8.01,0.3826,5.849953999999999,1.3692415359163508
qwen_target_32b,RPi 5,qwen3-0.6b,Q8_0,9.58,7.85,0.3826,3.665308,2.1417026891055264
qwen_target_32b,RPi 5,qwen3-1.7b,Q4_K_M,5.56,8.01,0.4494,2.4986639999999998,3.205713133098328
qwen_target_32b,RPi 5,qwen3-1.7b,Q8_0,3.52,7.87,0.4494,1.5818880000000002,4.975067767123841
qwen_target_32b,RPi 5,qwen3-4b,Q4_K_M,2.73,7.95,0.4705,1.284465,6.1893473158085275
qwen_target_32b,RPi 5,qwen3-4b,Q8_0,1.64,7.87,0.4705,0.7716199999999999,10.199320909255853
qwen_target_32b,RPi 5,qwen3-8b,Q4_K_M,1.52,8.31,0.5357,0.814264,10.205535305502885
qwen_target_32b,RPi 5,qwen3-8b,Q6_K,1.24,8.71,0.5357,0.664268,13.112177615058984
llama_target_70b,RPi 5,llama-3.2-1b-instruct,Q4_K_M,8.73,8.31,0.5102,4.454046,1.865719393109097
llama_target_70b,RPi 5,llama-3.2-1b,Q4_K_M,7.97,8.24,0.5038,4.015286,2.052157679428066
llama_target_70b,RPi 5,llama-3.2-3b,Q4_K_M,3.33,8.12,0.5691,1.8951030000000002,4.284727531960003
llama_target_70b,Jetson AGX Orin,llama-3.2-3b,Q8_0,31.36,43.75,0.5691,17.846976,2.451395687426262
llama_target_70b,Jetson AGX Orin,llama-3.1-8b,Q4_K_M,25.07,55.1,0.6488,16.265416000000002,3.3875555350075275
qwen_target_32b,Jetson AGX Orin,qwen3-0.6b,Q4_K_M,98.63,34.2,0.3826,37.735838,0.9063002655459779
qwen_target_32b,Jetson AGX Orin,qwen3-0.6b,Q8_0,80.21,31.33,0.3826,30.688345999999996,1.0209087188993504
qwen_target_32b,Jetson AGX Orin,qwen3-1.7b,Q4_K_M,65.31,40.09,0.4494,29.350314,1.3659138365606582
qwen_target_32b,Jetson AGX Orin,qwen3-1.7b,Q8_0,46.64,37.83,0.4494,20.960016,1.8048650344541721
qwen_target_32b,Jetson AGX Orin,qwen3-4b,Q4_K_M,33.7,47.27,0.4705,15.85585,2.9812340555693955
qwen_target_32b,Jetson AGX Orin,qwen3-4b,Q8_0,23.02,42.59,0.4705,10.83091,3.9322642326452724
qwen_target_32b,Jetson AGX Orin,qwen3-8b,Q4_K_M,24.03,54.65,0.5357,12.872871,4.245362203971437
qwen_target_32b,Jetson AGX Orin,qwen3-8b,Q6_K,18.55,56.94,0.5357,9.937235,5.729964119797912
llama_target_70b,Jetson AGX Orin,llama-3.2-1b-instruct,Q4_K_M,93.14,44.15,0.5102,47.520027999999996,0.9290819441436357
llama_target_70b,Jetson AGX Orin,llama-3.2-1b,Q4_K_M,92.94,44.04,0.5038,46.823172,0.9405599432691147
llama_target_70b,Jetson AGX Orin,llama-3.2-3b,Q4_K_M,45.12,49.18,0.5691,25.677792,1.9152737120076369
