run_index,device,model_name,cuda_enabled,n_gpu_layers,offload,n_ctx_per_seq,n_ctx_train,model_load_s,pm_method,pm_interval_s,pm_samples,tok_s_avg,tok_s_min,tok_s_max,power_avg_w,power_min_w,power_max_w,power_gpu_w,power_cpu_w,energy_j,temp_cpu_c,temp_cpu_max_c,temp_gpu_c,temp_gpu_max_c,saved_path
1,jetson_agx_orin,Llama-3.2-3B-Instruct-Q8_0.gguf,true,-1,full,2048,131072,2.47,jtop,0.2,11,31.36,31.23,31.43,43.75,,,0.0,0.0,1323.0,0.0,0.0,0.0,0.0,/home/lxc/MyWorkspace/projects/Llamacpp-Latency-Profiler/results/benchmark_jetson_Llama-3.2-3B-Instruct-Q8_0_2026-02-08_14-51-47.json
2,jetson_agx_orin,Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,true,-1,full,2048,131072,2.54,jtop,0.2,14,25.07,25.01,25.1,55.1,,,0.0,0.0,2165.1,0.0,0.0,0.0,0.0,/home/lxc/MyWorkspace/projects/Llamacpp-Latency-Profiler/results/benchmark_jetson_Meta-Llama-3.1-8B-Instruct-Q4_K_M_2026-02-08_14-52-26.json
3,jetson_agx_orin,Qwen2.5-7B-Instruct-Q4_K_M.gguf,true,-1,full,2048,32768,31.81,jtop,0.2,10,25.19,25.16,25.21,53.23,,,0.0,0.0,1455.3,0.0,0.0,0.0,0.0,/home/lxc/MyWorkspace/projects/Llamacpp-Latency-Profiler/results/benchmark_jetson_Qwen2.5-7B-Instruct-Q4_K_M_2026-02-08_14-53-15.json
4,jetson_agx_orin,Qwen3-0.6B-Q4_K_M.gguf,true,-1,full,2048,40960,0.63,jtop,0.2,4,98.63,97.7,98.97,34.2,,,0.0,0.0,315.9,0.0,0.0,0.0,0.0,/home/lxc/MyWorkspace/projects/Llamacpp-Latency-Profiler/results/benchmark_jetson_Qwen3-0.6B-Q4_K_M_2026-02-08_14-54-22.json
5,jetson_agx_orin,Qwen3-0.6B-Q8_0.gguf,true,-1,full,2048,40960,0.63,jtop,0.2,5,80.21,79.22,80.67,31.33,,,0.0,0.0,394.3,0.0,0.0,0.0,0.0,/home/lxc/MyWorkspace/projects/Llamacpp-Latency-Profiler/results/benchmark_jetson_Qwen3-0.6B-Q8_0_2026-02-08_14-54-36.json
6,jetson_agx_orin,Qwen3-1.7B-Q4_K_M.gguf,true,-1,full,2048,40960,0.75,jtop,0.2,6,65.31,65.11,65.45,40.09,,,0.0,0.0,635.4,0.0,0.0,0.0,0.0,/home/lxc/MyWorkspace/projects/Llamacpp-Latency-Profiler/results/benchmark_jetson_Qwen3-1.7B-Q4_K_M_2026-02-08_14-54-53.json
7,jetson_agx_orin,Qwen3-1.7B-Q8_0.gguf,true,-1,full,2048,40960,0.94,jtop,0.2,8,46.64,46.57,46.7,37.83,,,0.0,0.0,824.5,0.0,0.0,0.0,0.0,/home/lxc/MyWorkspace/projects/Llamacpp-Latency-Profiler/results/benchmark_jetson_Qwen3-1.7B-Q8_0_2026-02-08_14-55-14.json
8,jetson_agx_orin,Qwen3-4B-Q4_K_M.gguf,true,-1,full,2048,40960,1.13,jtop,0.2,10,33.7,33.65,33.73,47.27,,,0.0,0.0,1291.8,0.0,0.0,0.0,0.0,/home/lxc/MyWorkspace/projects/Llamacpp-Latency-Profiler/results/benchmark_jetson_Qwen3-4B-Q4_K_M_2026-02-08_14-55-42.json
9,jetson_agx_orin,Qwen3-4B-Q8_0.gguf,true,-1,full,2048,40960,1.63,jtop,0.2,15,23.02,22.99,23.04,42.59,,,0.0,0.0,1803.1,0.0,0.0,0.0,0.0,/home/lxc/MyWorkspace/projects/Llamacpp-Latency-Profiler/results/benchmark_jetson_Qwen3-4B-Q8_0_2026-02-08_14-56-17.json
10,jetson_agx_orin,Qwen3-8B-Q4_K_M.gguf,true,-1,full,2048,40960,2.0,jtop,0.2,14,24.03,23.99,24.06,54.65,,,0.0,0.0,2149.2,0.0,0.0,0.0,0.0,/home/lxc/MyWorkspace/projects/Llamacpp-Latency-Profiler/results/benchmark_jetson_Qwen3-8B-Q4_K_M_2026-02-08_14-57-09.json
