run_index,device,model_name,cuda_enabled,n_gpu_layers,offload,n_ctx_per_seq,n_ctx_train,model_load_s,pm_method,pm_interval_s,pm_samples,tok_s_avg,tok_s_min,tok_s_max,power_avg_w,power_min_w,power_max_w,power_gpu_w,power_cpu_w,energy_j,temp_cpu_c,temp_cpu_max_c,temp_gpu_c,temp_gpu_max_c,saved_path
1,raspberry_pi_5,Llama-3.2-3B-Instruct-Q8_0.gguf,,,,2048,131072,7.83,pmic,0.5,529,2.09,2.09,2.1,7.95,5.0,10.06,,,2281.5,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_Llama-3.2-3B-Instruct-Q8_0_2026-02-07_23-17-23.json
2,raspberry_pi_5,Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,,,,2048,131072,11.04,pmic,0.5,710,1.55,1.55,1.56,8.38,4.97,11.01,,,3237.4,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_Meta-Llama-3.1-8B-Instruct-Q4_K_M_2026-02-07_23-23-07.json
3,raspberry_pi_5,Qwen2.5-7B-Instruct-Q4_K_M.gguf,,,,2048,32768,10.34,pmic,0.5,460,1.7,1.69,1.71,8.46,5.12,11.08,,,2106.7,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_Qwen2.5-7B-Instruct-Q4_K_M_2026-02-07_23-30-50.json
4,raspberry_pi_5,Qwen3-0.6B-Q4_K_M.gguf,,,,2048,40960,1.34,pmic,0.5,73,15.29,15.18,15.46,8.01,5.13,11.1,,,313.3,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_Qwen3-0.6B-Q4_K_M_2026-02-07_23-36-10.json
5,raspberry_pi_5,Qwen3-0.6B-Q8_0.gguf,,,,2048,40960,1.84,pmic,0.5,117,9.58,9.39,9.77,7.85,5.21,9.98,,,490.4,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_Qwen3-0.6B-Q8_0_2026-02-07_23-36-57.json
6,raspberry_pi_5,Qwen3-1.7B-Q4_K_M.gguf,,,,2048,40960,2.84,pmic,0.5,200,5.56,5.54,5.59,8.01,5.05,10.79,,,859.4,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_Qwen3-1.7B-Q4_K_M_2026-02-07_23-38-12.json
7,raspberry_pi_5,Qwen3-1.7B-Q8_0.gguf,,,,2048,40960,4.37,pmic,0.5,315,3.52,3.52,3.53,7.87,5.09,9.96,,,1339.9,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_Qwen3-1.7B-Q8_0_2026-02-07_23-40-20.json
8,raspberry_pi_5,Qwen3-4B-Q4_K_M.gguf,,,,2048,40960,5.81,pmic,0.5,408,2.73,2.69,2.75,7.95,4.97,10.96,,,1747.6,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_Qwen3-4B-Q4_K_M_2026-02-07_23-43-43.json
9,raspberry_pi_5,Qwen3-4B-Q8_0.gguf,,,,2048,40960,9.58,pmic,0.5,676,1.64,1.64,1.65,7.87,4.98,10.12,,,2873.0,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_Qwen3-4B-Q8_0_2026-02-07_23-48-06.json
10,raspberry_pi_5,Qwen3-8B-Q4_K_M.gguf,,,,2048,40960,11.15,pmic,0.5,726,1.52,1.52,1.52,8.31,5.05,11.04,,,3278.3,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_Qwen3-8B-Q4_K_M_2026-02-07_23-55-22.json
11,raspberry_pi_5,Qwen3-8B-Q6_K.gguf,,,,2048,40960,14.74,pmic,0.5,894,1.24,1.24,1.24,8.71,4.18,11.3,,,4222.2,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_Qwen3-8B-Q6_K_2026-02-08_00-03-14.json
12,raspberry_pi_5,llama-3.2-1b-instruct-q4_k_m.gguf,,,,2048,131072,2.24,pmic,0.5,129,8.73,8.6,8.8,8.31,5.18,11.04,,,570.9,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_llama-3.2-1b-instruct-q4_k_m_2026-02-08_00-12-57.json
13,raspberry_pi_5,llama-3.2-1b-q4_k_m.gguf,,,,2048,131072,2.2,pmic,0.5,140,7.97,7.88,8.07,8.24,5.13,10.82,,,619.0,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_llama-3.2-1b-q4_k_m_2026-02-08_00-14-19.json
14,raspberry_pi_5,llama-3.2-3b-instruct-q4_k_m.gguf,,,,2048,131072,4.83,pmic,0.5,334,3.33,3.32,3.33,8.12,5.14,10.94,,,1465.3,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_llama-3.2-3b-instruct-q4_k_m_2026-02-08_00-15-49.json
15,raspberry_pi_5,qwen2.5-1.5b-instruct-q4_k_m.gguf,,,,2048,32768,2.8,pmic,0.5,165,6.72,6.7,6.76,7.94,5.01,11.09,,,697.8,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_qwen2.5-1.5b-instruct-q4_k_m_2026-02-08_00-19-25.json
16,raspberry_pi_5,qwen2.5-3b-instruct-q4_k_m.gguf,,,,2048,32768,4.89,pmic,0.5,121,3.57,3.55,3.59,8.08,5.09,10.86,,,524.5,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_qwen2.5-3b-instruct-q4_k_m_2026-02-08_00-21-11.json
17,raspberry_pi_5,qwen2.5-3b-instruct-q8_0.gguf,,,,2048,32768,8.09,pmic,0.5,334,2.04,2.02,2.06,7.93,5.01,10.05,,,1432.3,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_qwen2.5-3b-instruct-q8_0_2026-02-08_00-22-49.json
18,raspberry_pi_5,qwen2.5-coder-3b-instruct-q4_k_m.gguf,,,,2048,32768,4.88,pmic,0.5,252,3.48,3.47,3.5,8.15,5.21,11.09,,,1107.8,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_qwen2.5-coder-3b-instruct-q4_k_m_2026-02-08_00-26-47.json
19,raspberry_pi_5,qwen2.5-coder-7b-instruct-q4_k_m.gguf,,,,2048,131072,10.35,pmic,0.5,343,1.66,1.65,1.67,8.27,5.03,10.9,,,1538.7,,,,,/mnt/workspace/projects/Llamacpp-Latency-Profiler/results/benchmark_qwen2.5-coder-7b-instruct-q4_k_m_2026-02-08_00-29-37.json
