target,draft_model,device,draft_tps,T_verify_s,R,optimal_K,goodput_at_optimal_K
Llama-3.1-70B,Llama-3.2-1B,RPi 4B,4.18,0.1,0.418,2,3.968266858392701
Llama-3.1-70B,Llama-3.2-1B,RPi 4B,4.18,0.2,0.836,2,3.3833812636084457
Llama-3.1-70B,Llama-3.2-1B,RPi 4B,4.18,0.5,2.09,2,2.3460316047905994
Llama-3.1-70B,Llama-3.2-1B,RPi 4B,4.18,1.0,4.18,2,1.552632566924523
Llama-3.1-70B,Llama-3.2-1B,RPi 4B,4.18,2.0,8.36,5,1.0355759117315622
Llama-3.1-70B,Llama-3.2-1B,RPi 5,12.86,0.1,1.286,2,8.983680419600415
Llama-3.1-70B,Llama-3.2-1B,RPi 5,12.86,0.2,2.572,2,6.456774684778424
Llama-3.1-70B,Llama-3.2-1B,RPi 5,12.86,0.5,6.43,5,3.7239758371999105
Llama-3.1-70B,Llama-3.2-1B,RPi 5,12.86,1.0,12.86,6,2.4209738720423304
Llama-3.1-70B,Llama-3.2-1B,RPi 5,12.86,2.0,25.72,6,1.4394567221537942
Llama-3.1-70B,Llama-3.2-1B,Jetson AGX Orin,92.94,0.1,9.294,6,21.576073083942507
Llama-3.1-70B,Llama-3.2-1B,Jetson AGX Orin,92.94,0.2,18.588,6,13.420549119319046
Llama-3.1-70B,Llama-3.2-1B,Jetson AGX Orin,92.94,0.5,46.47,6,6.289012040133728
Llama-3.1-70B,Llama-3.2-1B,Jetson AGX Orin,92.94,1.0,92.94,10,3.425065872001495
Llama-3.1-70B,Llama-3.2-1B,Jetson AGX Orin,92.94,2.0,185.88,10,1.7999605925251885
Llama-3.1-70B,Llama-3.2-1B-Inst.,RPi 4B,4.14,0.1,0.414,2,4.117678644747613
Llama-3.1-70B,Llama-3.2-1B-Inst.,RPi 4B,4.14,0.2,0.828,2,3.514878447107757
Llama-3.1-70B,Llama-3.2-1B-Inst.,RPi 4B,4.14,0.5,2.07,2,2.442279176516152
Llama-3.1-70B,Llama-3.2-1B-Inst.,RPi 4B,4.14,1.0,4.14,4,1.7417070521205869
Llama-3.1-70B,Llama-3.2-1B-Inst.,RPi 4B,4.14,2.0,8.28,6,1.193830099887596
Llama-3.1-70B,Llama-3.2-1B-Inst.,RPi 5,14.47,0.1,1.447,2,10.078980904395483
Llama-3.1-70B,Llama-3.2-1B-Inst.,RPi 5,14.47,0.2,2.894,3,7.312922708184568
Llama-3.1-70B,Llama-3.2-1B-Inst.,RPi 5,14.47,0.5,7.235,6,4.502098331497946
Llama-3.1-70B,Llama-3.2-1B-Inst.,RPi 5,14.47,1.0,14.47,6,2.9108583985039234
Llama-3.1-70B,Llama-3.2-1B-Inst.,RPi 5,14.47,2.0,28.94,8,1.756163950525256
Llama-3.1-70B,Llama-3.2-1B-Inst.,Jetson AGX Orin,93.14,0.1,9.314,6,25.04482386093648
Llama-3.1-70B,Llama-3.2-1B-Inst.,Jetson AGX Orin,93.14,0.2,18.628,8,15.68162641047213
Llama-3.1-70B,Llama-3.2-1B-Inst.,Jetson AGX Orin,93.14,0.5,46.57,8,7.652012975225434
Llama-3.1-70B,Llama-3.2-1B-Inst.,Jetson AGX Orin,93.14,1.0,93.14,9,4.133189212334956
Llama-3.1-70B,Llama-3.2-1B-Inst.,Jetson AGX Orin,93.14,2.0,186.28,9,2.161839134309158
Llama-3.1-70B,Llama-3.2-3B-Inst.,RPi 4B,1.68,0.1,0.168,2,1.9428955038852853
Llama-3.1-70B,Llama-3.2-3B-Inst.,RPi 4B,1.68,0.2,0.336,2,1.8031667176469601
Llama-3.1-70B,Llama-3.2-3B-Inst.,RPi 4B,1.68,0.5,0.84,2,1.4831681170504574
Llama-3.1-70B,Llama-3.2-3B-Inst.,RPi 4B,1.68,1.0,1.68,2,1.1446188729411138
Llama-3.1-70B,Llama-3.2-3B-Inst.,RPi 4B,1.68,2.0,3.36,4,0.8023561004726488
Llama-3.1-70B,Llama-3.2-3B-Inst.,RPi 5,4.68,0.1,0.46799999999999997,2,4.754448386330998
Llama-3.1-70B,Llama-3.2-3B-Inst.,RPi 5,4.68,0.2,0.9359999999999999,2,3.99658672256979
Llama-3.1-70B,Llama-3.2-3B-Inst.,RPi 5,4.68,0.5,2.34,2,2.7036817090932956
Llama-3.1-70B,Llama-3.2-3B-Inst.,RPi 5,4.68,1.0,4.68,4,1.8952295513468493
Llama-3.1-70B,Llama-3.2-3B-Inst.,RPi 5,4.68,2.0,9.36,7,1.2952992923893725
Llama-3.1-70B,Llama-3.2-3B-Inst.,Jetson AGX Orin,42.52,0.1,4.252000000000001,4,18.112138402655212
Llama-3.1-70B,Llama-3.2-3B-Inst.,Jetson AGX Orin,42.52,0.2,8.504000000000001,7,12.41815483964988
Llama-3.1-70B,Llama-3.2-3B-Inst.,Jetson AGX Orin,42.52,0.5,21.26,9,6.901143401048864
Llama-3.1-70B,Llama-3.2-3B-Inst.,Jetson AGX Orin,42.52,1.0,42.52,9,4.053350141998032
